# FieldId Time[UTC] deltaT[sec] RA Dec
11637 2021-09-01T13:03:42.997 221.408 113.23943 22.53047
11205 2021-09-01T13:07:24.405 2615.263 111.15208 19.38277
05562 2021-09-01T13:50:59.668 199.497 92.07373 -19.96355
05134 2021-09-01T13:54:19.165 316.809 90.84906 -23.11126
04510 2021-09-01T13:59:35.974 117.473 88.23530 -27.83282
04307 2021-09-01T14:01:33.447 647.272 86.86568 -29.40667
03161 2021-09-01T14:12:20.719 221.117 80.55249 -38.84978
02808 2021-09-01T14:16:01.836 484.629 78.03468 -41.99749
02154 2021-09-01T14:24:06.465 103.857 70.83871 -48.29290
02003 2021-09-01T14:25:50.322 284.943 69.60001 -49.86675
01712 2021-09-01T14:30:35.265 107.415 63.82978 -53.01446
01574 2021-09-01T14:32:22.680 165.733 62.20588 -54.58831
01442 2021-09-01T14:35:08.413 110.701 58.15385 -56.16217
01315 2021-09-01T14:36:59.114 186.021 56.16000 -57.73602
01193 2021-09-01T14:40:05.135 192.311 51.00000 -59.30987
01075 2021-09-01T14:43:17.446 189.027 45.39130 -60.88372
00964 2021-09-01T14:46:26.473 196.338 39.63303 -62.45758
00858 2021-09-01T14:49:42.811 87.675 33.20388 -64.03143
00857 2021-09-01T14:51:10.486 392.643 29.70874 -64.03143
00755 2021-09-01T14:57:43.129 91.078 14.69388 -65.60529
00754 2021-09-01T14:59:14.207 423.629 11.02041 -65.60529
00950 2021-09-01T15:06:17.836 87.642 354.75726 -64.03143
00949 2021-09-01T15:07:45.478 230.152 351.26212 -64.03143
01056 2021-09-01T15:11:35.630 359.279 343.48624 -62.45758
01287 2021-09-01T15:17:34.909 137.854 333.00000 -59.30987
01410 2021-09-01T15:19:52.763 584.409 329.76001 -57.73602
01956 2021-09-01T15:29:37.172 578.083 316.84930 -51.44061
02747 2021-09-01T15:39:15.255 118.71 308.57141 -43.57134
02918 2021-09-01T15:41:13.965 124.984 306.93640 -41.99749
03094 2021-09-01T15:43:18.949 4754.997 305.08475 -40.42364
12756 2021-09-01T17:02:33.946 95.308 266.83417 30.39973
12953 2021-09-01T17:04:09.254 565.873 266.32654 31.97359
13882 2021-09-01T17:13:35.127 110.676 259.88763 39.84285
14057 2021-09-01T17:15:25.803 111.318 258.62067 41.41670
14227 2021-09-01T17:17:17.121 111.973 257.29416 42.99055
14394 2021-09-01T17:19:09.094 242.862 255.90361 44.56441
14713 2021-09-01T17:23:11.956 341.873 252.22929 47.71211
15156 2021-09-01T17:28:53.829 137.863 247.18311 52.43367
15294 2021-09-01T17:31:11.692 140.679 244.37956 54.00752
15426 2021-09-01T17:33:32.371 143.607 241.36363 55.58138
15554 2021-09-01T17:35:55.978 146.611 238.11024 57.15523
15676 2021-09-01T17:38:22.589 149.631 234.59016 58.72908
15794 2021-09-01T17:40:52.220 182.029 230.76924 60.30293
15905 2021-09-01T17:43:54.249 1758.293 225.40541 61.87680
15885 2021-09-01T18:13:12.542 214.703 160.54054 61.87680
15769 2021-09-01T18:16:47.245 274.26 153.84616 60.30293
15522 2021-09-01T18:21:21.505 167.364 147.40158 57.15523
15390 2021-09-01T18:24:08.869 97.911 143.18181 55.58138
15255 2021-09-01T18:25:46.780 160.761 141.89781 54.00752
15113 2021-09-01T18:28:27.541 250.737 138.16902 52.43367
14816 2021-09-01T18:32:38.278 94.409 133.81578 49.28596
14661 2021-09-01T18:34:12.687 129.448 132.99362 47.71211
14500 2021-09-01T18:36:22.135 220.644 130.80745 46.13826
14166 2021-09-01T18:40:02.779 125.798 128.11766 42.99055
13993 2021-09-01T18:42:08.577 124.395 126.20689 41.41670
13815 2021-09-01T18:44:12.972 197.498 124.38203 39.84285
13449 2021-09-01T18:47:30.470 227.371 122.90322 36.69514
13068 2021-09-01T18:51:17.841 105.203 120.31087 33.54744
12873 2021-09-01T18:53:03.044 104.947 119.38775 31.97359
12674 2021-09-01T18:54:47.991 549.137 118.49246 30.39973
11637 2021-09-01T19:03:57.128 90.097 113.23943 22.53047
11422 2021-09-01T19:05:27.225 221.012 113.02325 20.95662
10986 2021-09-01T19:09:08.237 89.999 110.95890 17.80891
