FieldId date-obs deltaT[sec] RA Dec
15425 59458.55625972222 146.324 238.63637 55.58138
15553 59458.55795328704 149.374 235.2756 57.15523
15675 59458.55968215278 152.398 231.63934 58.72908
15793 59458.56144601852 186.151 227.69231 60.30293
15904 59458.56360054398 1164.581 222.16217 61.8768
5562 59458.577079490744 199.497 92.07373 -19.96355
5134 59458.5793884838 313.459 90.84906 -23.11126
15885 59458.58301648148 3.35 160.54054 61.8768
4510 59458.58305525463 117.473 88.2353 -27.83282
4307 59458.584414895835 17.31 86.86568 -29.40667
15770 59458.58461524305 177.934 156.92308 60.30293
15648 59458.58667466435 172.813 151.96721 58.72908
15522 59458.58867481481 265.104 147.40158 57.15523
15255 59458.59174314815 14.111 141.89781 54.00752
3161 59458.591906469905 221.117 80.55249 -38.84978
2808 59458.59446569444 21.528 78.03468 -41.99749
14968 59458.59471486111 249.146 137.14285 50.85982
14661 59458.59759849537 129.617 132.99362 47.71211
14500 59458.59909869213 84.338 130.80745 46.13826
2154 59458.60007482639 103.857 70.83871 -48.2929
2003 59458.601276875 158.247 69.60001 -49.86675
13993 59458.6031084375 124.622 126.20689 41.4167
13815 59458.60455082176 2.074 124.38203 39.84285
1712 59458.604574826386 107.415 63.82978 -53.01446
1574 59458.605818055556 165.733 62.20588 -54.58831
1442 59458.607736261576 110.701 58.15385 -56.16217
1315 59458.60901752315 38.611 56.16 -57.73602
13068 59458.609464409725 105.13 120.31087 33.54744
12873 59458.61068119213 42.28 119.38775 31.97359
1193 59458.61117054398 192.311 51.0 -59.30987
1075 59458.61339636574 189.027 45.3913 -60.88372
964 59458.61558417824 196.338 39.63303 -62.45758
858 59458.6178566088 34.416 33.20388 -64.03143
11637 59458.61825494213 53.259 113.23943 22.53047
857 59458.61887136574 257.75 29.70874 -64.03143
10986 59458.62185458333 134.893 110.9589 17.80891
755 59458.62341584491 91.078 14.69388 -65.60529
754 59458.62446998843 423.629 11.02041 -65.60529
950 59458.62937310185 87.642 354.75726 -64.03143
949 59458.63038747685 230.152 351.26212 -64.03143
1056 59458.63305127315 359.279 343.48624 -62.45758
1287 59458.637209594905 137.854 333.0 -59.30987
1410 59458.63880512732 584.409 329.76001 -57.73602
1956 59458.645569120374 578.083 316.8493 -51.44061
2747 59458.65225989583 98.115 308.57141 -43.57134
5134 59458.65339548611 20.595 90.84906 -23.11126
2918 59458.65363385417 124.984 306.9364 -41.99749
3094 59458.65508042824 54.474 305.08475 -40.42364
4715 59458.655710914354 116.76 89.56522 -26.25896
4510 59458.65706230324 308.128 88.2353 -27.83282
3912 59458.66062859954 118.643 85.84616 -32.55437
3719 59458.66200178241 108.327 84.375 -34.12823
3529 59458.66325556713 108.927 83.29787 -35.70208
3344 59458.664516296296 120.722 82.17391 -37.27593
3161 59458.66591354166 221.11 80.55249 -38.84978
2808 59458.66847268518 100.173 78.03468 -41.99749
2639 59458.669632094905 112.128 77.14285 -43.57134
2473 59458.670929872686 376.178 75.73171 -45.1452
2003 59458.67528378472 116.076 69.60001 -49.86675
1855 59458.676627256944 276.296 67.80822 -51.44061
1574 59458.679825127314 276.414 62.20588 -54.58831
1315 59458.683024363425 300.035 56.16 -57.73602
1076 59458.68649699074 184.979 48.52174 -60.88372
965 59458.68863795139 278.677 42.93578 -62.45758
858 59458.69186337963 298.988 33.20388 -64.03143
757 59458.69532388889 90.407 22.04082 -65.60529
756 59458.6963702662 90.898 18.36735 -65.60529
755 59458.69742232639 91.08 14.69388 -65.60529
