field        ra       dec   eclip_l   eclip_b   galac_l   galac_b
00000 testfield testfield testfield testfield testfield testfield
00171 290.45453 -79.76996 276.49671 -56.79350 314.43375 -28.01003
00172 298.63635 -79.76996 279.03778 -57.23437 314.25127 -29.45309
00173 306.81818 -79.76996 281.51556 -57.81610 313.83002 -30.85857
00174 315.00000 -79.76996 283.90957 -58.53349 313.16831 -32.19644
00175 323.18182 -79.76996 286.19724 -59.38006 312.27006 -33.43668
00176 331.36362 -79.76996 288.35320 -60.34794 311.14587 -34.54994
00177 339.54544 -79.76996 290.34828 -61.42788 309.81408 -35.50848
00178 347.72726 -79.76996 292.14823 -62.60907 308.30134 -36.28724
00179 355.90909 -79.76996 293.71215 -63.87896 306.64263 -36.86494
00180   0.00000 -78.19611 297.70370 -63.90845 306.27143 -38.59661
00181   7.20000 -78.19611 299.00600 -65.27027 304.41658 -38.86681
00182  14.40000 -78.19611 300.02172 -66.68299 302.52689 -38.92730
00183  21.60000 -78.19611 300.68966 -68.13241 300.64672 -38.77658
00184  28.80000 -78.19611 300.93273 -69.60175 298.81997 -38.41836
00185  36.00000 -78.19611 300.65405 -71.07070 297.08767 -37.86128
00186  43.20000 -78.19611 299.73345 -72.51430 295.48613 -37.11844
00187  50.40000 -78.19611 298.02665 -73.90134 294.04558 -36.20666
00188  57.60000 -78.19611 295.37218 -75.19257 292.78956 -35.14570
00189  64.80000 -78.19611 291.61527 -76.33925 291.73486 -33.95741
00190  72.00000 -78.19611 286.66128 -77.28337 290.89202 -32.66494
00191  79.20000 -78.19611 280.56280 -77.96204 290.26608 -31.29210
00192  86.39999 -78.19611 273.60901 -78.31841 289.85749 -29.86283
00193  93.60000 -78.19611 266.33483 -78.31770 289.66301 -28.40074
00194 100.80000 -78.19611 259.38349 -77.95999 289.67649 -26.92887
00195 108.00000 -78.19611 253.28914 -77.28018 289.88955 -25.46941
00196 115.20000 -78.19611 248.33989 -76.33516 290.29208 -24.04360
00197 122.39999 -78.19611 244.58755 -75.18784 290.87260 -22.67154
00198 129.59999 -78.19611 241.93708 -73.89619 291.61851 -21.37215
00199 136.80000 -78.19611 240.23363 -72.50891 292.51626 -20.16302
00200 144.00000 -78.19611 239.31574 -71.06520 293.55134 -19.06034
00201 151.20000 -78.19611 239.03924 -69.59625 294.70844 -18.07877
00202 158.39999 -78.19611 239.28404 -68.12701 295.97140 -17.23128
00203 165.59999 -78.19611 239.95336 -66.67775 297.32330 -16.52910
00204 172.79999 -78.19611 240.97018 -65.26525 298.74648 -15.98152
00205 180.00000 -78.19611 242.27337 -63.90369 300.22267 -15.59581
00206 187.20000 -78.19611 243.81411 -62.60525 301.73309 -15.37709
00207 194.39999 -78.19611 245.55312 -61.38054 303.25864 -15.32827
00208 201.59999 -78.19611 247.45834 -60.23888 304.78007 -15.45001
00209 208.79999 -78.19611 249.50325 -59.18853 306.27817 -15.74067
00210 216.00000 -78.19611 251.66551 -58.23676 307.73395 -16.19641
00211 223.20000 -78.19611 253.92593 -57.39000 309.12883 -16.81115
00212 230.39999 -78.19611 256.26775 -56.65384 310.44479 -17.57676
00213 237.59999 -78.19611 258.67602 -56.03306 311.66448 -18.48311
00214 244.79999 -78.19611 261.13711 -55.53166 312.77129 -19.51820
00215 252.00000 -78.19611 263.63839 -55.15284 313.74943 -20.66831
00216 259.19998 -78.19611 266.16791 -54.89903 314.58392 -21.91813
00217 266.39999 -78.19611 268.71420 -54.77182 315.26067 -23.25085
00218 273.60001 -78.19611 271.26605 -54.77202 315.76651 -24.64830
00219 280.79999 -78.19611 273.81231 -54.89965 316.08929 -26.09104
00220 288.00000 -78.19611 276.34179 -55.15388 316.21809 -27.55847
00221 295.19998 -78.19611 278.84299 -55.53310 316.14349 -29.02892
00222 302.39999 -78.19611 281.30398 -56.03491 315.85799 -30.47983
00223 309.60001 -78.19611 283.71211 -56.65610 315.35659 -31.88787
00224 316.79999 -78.19611 286.05375 -57.39266 314.63754 -33.22924
00225 324.00000 -78.19611 288.31395 -58.23981 313.70312 -34.48003
00226 331.19998 -78.19611 290.47590 -59.19195 312.56063 -35.61660
00227 338.39999 -78.19611 292.52045 -60.24267 311.22320 -36.61629
00228 345.59998 -78.19611 294.42522 -61.38468 309.71049 -37.45805
00229 352.79999 -78.19611 296.16366 -62.60972 308.04891 -38.12326
00230   3.21429 -76.62225 301.61596 -63.86541 305.84487 -40.28701
00231   9.64286 -76.62225 302.97376 -65.23287 303.90992 -40.48156
00232  16.07143 -76.62225 304.09949 -66.64698 301.95535 -40.48163
00233  22.50000 -76.62225 304.94446 -68.09770 300.02036 -40.28723
00234  28.92857 -76.62225 305.44631 -69.57330 298.14317 -39.90244
00235  35.35714 -76.62225 305.52465 -71.05973 296.35918 -39.33522
00236  41.78571 -76.62225 305.07556 -72.53976 294.69951 -38.59697
00237  48.21429 -76.62225 303.96566 -73.99174 293.19003 -37.70191
00238  54.64286 -76.62225 302.02755 -75.38773 291.85092 -36.66654
00239  61.07143 -76.62225 299.06213 -76.69139 290.69669 -35.50888
00240  67.50000 -76.62225 294.85981 -77.85553 289.73663 -34.24799
00241  73.92857 -76.62225 289.26073 -78.82114 288.97543 -32.90339
00242  80.35714 -76.62225 282.27124 -79.52078 288.41399 -31.49470
00243  86.78571 -76.62225 274.20591 -79.89048 288.05013 -30.04130
00244  93.21429 -76.62225 265.72935 -79.88965 287.87931 -28.56214
00245  99.64285 -76.62225 257.66756 -79.51840 287.89519 -27.07557
00246 106.07143 -76.62225 250.68380 -78.81744 288.09014 -25.59923
00247 112.50000 -76.62225 245.09106 -77.85084 288.45550 -24.15001
00248 118.92857 -76.62225 240.89461 -76.68600 288.98188 -22.74398
00249 125.35714 -76.62225 237.93417 -75.38188 289.65929 -21.39638
00250 131.78571 -76.62225 236.00008 -73.98561 290.47718 -20.12154
00251 138.21428 -76.62225 234.89337 -72.53352 291.42452 -18.93285
00252 144.64285 -76.62225 234.44679 -71.05346 292.48974 -17.84274
00253 151.07141 -76.62225 234.52710 -69.56711 293.66078 -16.86254
00254 157.49998 -76.62225 235.03051 -68.09165 294.92501 -16.00245
00255 163.92856 -76.62225 235.87671 -66.64112 296.26927 -15.27143
00256 170.35713 -76.62225 237.00342 -65.22724 297.67988 -14.67715
00257 176.78571 -76.62225 238.36202 -63.86005 299.14265 -14.22584
00258 183.21428 -76.62225 239.91411 -62.54830 300.64301 -13.92226
00259 189.64284 -76.62225 241.62903 -61.29976 302.16605 -13.76964
00260 196.07141 -76.62225 243.48195 -60.12137 303.69668 -13.76958
00261 202.49998 -76.62225 245.45243 -59.01940 305.21974 -13.92210
00262 208.92856 -76.62225 247.52338 -57.99955 306.72012 -14.22556
00263 215.35713 -76.62225 249.68024 -57.06692 308.18292 -14.67676
00264 221.78571 -76.62225 251.91040 -56.22616 309.59357 -15.27095
00265 228.21428 -76.62225 254.20273 -55.48137 310.93789 -16.00186
00266 234.64284 -76.62225 256.54720 -54.83617 312.20218 -16.86186
00267 241.07141 -76.62225 258.93466 -54.29371 313.37329 -17.84198
00268 247.49998 -76.62225 261.35656 -53.85659 314.43860 -18.93202
00269 253.92856 -76.62225 263.80483 -53.52694 315.38603 -20.12064
00270 260.35715 -76.62225 266.27172 -53.30634 316.20402 -21.39542
00271 266.78571 -76.62225 268.74967 -53.19588 316.88153 -22.74298
00272 273.21429 -76.62225 271.23131 -53.19608 317.40803 -24.14897
00273 279.64285 -76.62225 273.70926 -53.30694 317.77351 -25.59816
00274 286.07144 -76.62225 276.17612 -53.52792 317.96858 -27.07449
00275 292.50000 -76.62225 278.62433 -53.85797 317.98460 -28.56106
00276 298.92856 -76.62225 281.04617 -54.29548 317.81391 -30.04023
00277 305.35715 -76.62225 283.43355 -54.83834 317.45019 -31.49366
00278 311.78571 -76.62225 285.77792 -55.48392 316.88890 -32.90239
00279 318.21429 -76.62225 288.07012 -56.22910 316.12785 -34.24704
00280 324.64285 -76.62225 290.30010 -57.07024 315.16793 -35.50800
00281 331.07144 -76.62225 292.45675 -58.00324 314.01384 -36.66574
00282 337.50000 -76.62225 294.52743 -59.02346 312.67486 -37.70121
00283 343.92856 -76.62225 296.49757 -60.12577 311.16550 -38.59637
00284 350.35715 -76.62225 298.35008 -61.30450 309.50593 -39.33475
00285 356.78571 -76.62225 300.06450 -62.55337 307.72202 -39.90209
00286   0.00000 -75.04840 303.86360 -62.42882 307.33836 -41.63681
00287   5.71429 -75.04840 305.42567 -63.72186 305.40468 -41.94235
00288  11.42857 -75.04840 306.83943 -65.06307 303.42924 -42.07433
00289  17.14286 -75.04840 308.07721 -66.44648 301.44534 -42.03036
00290  22.85714 -75.04840 309.10389 -67.86537 299.48667 -41.81125
00291  28.57143 -75.04840 309.87431 -69.31207 297.58575 -41.42094
00292  34.28571 -75.04840 310.32969 -70.77762 295.77259 -40.86632
00293  40.00000 -75.04840 310.39264 -72.25125 294.07350 -40.15685
00294  45.71429 -75.04840 309.96052 -73.71958 292.51046 -39.30420
00295  51.42857 -75.04840 308.89679 -75.16551 291.10072 -38.32167
00296  57.14286 -75.04840 307.02120 -76.56647 289.85689 -37.22378
00297  62.85714 -75.04840 304.10260 -77.89195 288.78730 -36.02583
00298  68.57143 -75.04840 299.86533 -79.10027 287.89644 -34.74347
00299  74.28571 -75.04840 294.03565 -80.13557 287.18566 -33.39245
00300  80.00000 -75.04840 286.46916 -80.92770 286.65371 -31.98836
00301  85.71429 -75.04840 277.37085 -81.40134 286.29737 -30.54644
00302  91.42857 -75.04840 267.46770 -81.49866 286.11192 -29.08152
