# FieldId Time[UTC] deltaT[sec] RA Dec
00753 2021-09-01T16:47:19.320 90.513 7.34694 -65.60529
00752 2021-09-01T16:48:49.833 329.819 3.67347 -65.60529
00949 2021-09-01T16:54:19.652 230.182 351.26212 -64.03143
01056 2021-09-01T16:58:09.834 219.126 343.48624 -62.45758
01168 2021-09-01T17:01:48.960 140.181 336.52173 -60.88372
01287 2021-09-01T17:04:09.141 466.585 333.00000 -59.30987
01672 2021-09-01T17:11:55.726 128.772 321.61761 -54.58831
01812 2021-09-01T17:14:04.498 126.804 319.14893 -53.01446
01956 2021-09-01T17:16:11.302 578.231 316.84930 -51.44061
02747 2021-09-01T17:25:49.533 118.679 308.57141 -43.57134
02918 2021-09-01T17:27:48.212 124.892 306.93640 -41.99749
03094 2021-09-01T17:29:53.104 4850.36 305.08475 -40.42364
12953 2021-09-01T18:50:43.464 95.37 266.32654 31.97359
13146 2021-09-01T18:52:18.834 107.662 265.80310 33.54744
13336 2021-09-01T18:54:06.496 696.826 264.76190 35.12129
14394 2021-09-01T19:05:43.322 449.484 255.90361 44.56441
15014 2021-09-01T19:13:12.806 135.208 249.79591 50.85982
15156 2021-09-01T19:15:28.014 137.884 247.18311 52.43367
15294 2021-09-01T19:17:45.898 140.693 244.37956 54.00752
15426 2021-09-01T19:20:06.591 143.612 241.36363 55.58138
15554 2021-09-01T19:22:30.203 146.605 238.11024 57.15523
15676 2021-09-01T19:24:56.808 149.604 234.59016 58.72908
15794 2021-09-01T19:27:26.412 182.035 230.76924 60.30293
15905 2021-09-01T19:30:28.447 1758.316 225.40541 61.87680
15885 2021-09-01T19:59:46.763 488.978 160.54054 61.87680
15522 2021-09-01T20:07:55.741 265.335 147.40158 57.15523
15255 2021-09-01T20:12:21.076 160.59 141.89781 54.00752
15113 2021-09-01T20:15:01.666 345.296 138.16902 52.43367
14661 2021-09-01T20:20:46.962 129.371 132.99362 47.71211
14500 2021-09-01T20:22:56.333 220.724 130.80745 46.13826
14166 2021-09-01T20:26:37.057 125.703 128.11766 42.99055
13993 2021-09-01T20:28:42.760 321.992 126.20689 41.41670
13449 2021-09-01T20:34:04.752 106.055 122.90322 36.69514
13261 2021-09-01T20:35:50.807 121.239 121.90476 35.12129
13068 2021-09-01T20:37:52.046 105.228 120.31087 33.54744
12873 2021-09-01T20:39:37.274 104.972 119.38775 31.97359
12674 2021-09-01T20:41:22.246 104.705 118.49246 30.39973
12473 2021-09-01T20:43:06.951 104.43 117.62376 28.82588
12268 2021-09-01T20:44:51.381 104.152 116.78049 27.25203
12061 2021-09-01T20:46:35.533 103.868 115.96154 25.67818
11850 2021-09-01T20:48:19.401 222.054 115.16588 24.10432
11422 2021-09-01T20:52:01.455 311.038 113.02325 20.95662
10766 2021-09-01T20:57:12.493 2908.379 110.76923 16.23506
04511 2021-09-01T21:45:40.872 116.516 90.00000 -27.83282
04308 2021-09-01T21:47:37.388 307.7 88.65672 -29.40667
03720 2021-09-01T21:52:45.088 107.385 86.25000 -34.12823
03530 2021-09-01T21:54:32.473 107.949 85.21276 -35.70208
03345 2021-09-01T21:56:20.422 119.628 84.13043 -37.27593
03162 2021-09-01T21:58:20.050 109.192 82.54144 -38.84978
02984 2021-09-01T22:00:09.242 109.79 81.35593 -40.42364
02809 2021-09-01T22:01:59.032 478.215 80.11560 -41.99749
02155 2021-09-01T22:09:57.247 102.466 73.16129 -48.29290
02004 2021-09-01T22:11:39.713 114.717 72.00000 -49.86675
01856 2021-09-01T22:13:34.430 271.372 70.27397 -51.44061
01575 2021-09-01T22:18:05.802 11.418 64.85294 -54.58831
16091 2021-09-01T22:18:17.220 259.445 65.00175 -54.93781
01316 2021-09-01T22:22:36.665 294.391 59.04000 -57.73602
01077 2021-09-01T22:27:31.056 180.789 51.65217 -60.88372
00966 2021-09-01T22:30:31.845 188.361 46.23853 -62.45758
00860 2021-09-01T22:33:40.206 84.731 40.19418 -64.03143
00859 2021-09-01T22:35:04.937 206.607 36.69903 -64.03143
00759 2021-09-01T22:38:31.544 88.788 29.38775 -65.60529
00758 2021-09-01T22:40:00.332 89.824 25.71428 -65.60529
00757 2021-09-01T22:41:30.156 453.84 22.04082 -65.60529
00752 2021-09-01T22:49:03.996 89.522 3.67347 -65.60529
00751 2021-09-01T22:50:33.518 325.828 0.00000 -65.60529
00948 2021-09-01T22:55:59.346 225.385 347.76697 -64.03143
01055 2021-09-01T22:59:44.731 138.413 340.18347 -62.45758
01168 2021-09-01T23:02:03.144 348.905 336.52173 -60.88372
01409 2021-09-01T23:07:52.049 133.388 326.88000 -57.73602
01538 2021-09-01T23:10:05.437 124.287 324.00000 -56.16217
01672 2021-09-01T23:12:09.724 128.798 321.61761 -54.58831
01812 2021-09-01T23:14:18.522 126.793 319.14893 -53.01446
01956 2021-09-01T23:16:25.315 132.145 316.84930 -51.44061
02105 2021-09-01T23:18:37.460 446.467 314.40002 -49.86675
02747 2021-09-01T23:26:03.927 118.555 308.57141 -43.57134
02918 2021-09-01T23:28:02.482 124.553 306.93640 -41.99749
03094 2021-09-01T23:30:07.035 4805.876 305.08475 -40.42364
12954 2021-09-02T00:50:12.911 343.414 268.16327 31.97359
13522 2021-09-02T00:55:56.325 108.417 264.19354 36.69514
13705 2021-09-02T00:57:44.742 109.001 263.07693 38.26900
13883 2021-09-02T00:59:33.743 109.597 261.91010 39.84285
14058 2021-09-02T01:01:23.340 221.018 260.68964 41.41670
14395 2021-09-02T01:05:04.358 126.988 258.07230 44.56441
14556 2021-09-02T01:07:11.346 112.618 256.02484 46.13826
14714 2021-09-02T01:09:03.964 336.764 254.52228 47.71211
15157 2021-09-02T01:14:40.728 135.375 249.71832 52.43367
15295 2021-09-02T01:16:56.103 138.081 247.00731 54.00752
15427 2021-09-02T01:19:14.184 140.908 244.09091 55.58138
15555 2021-09-02T01:21:35.092 143.829 240.94489 57.15523
15677 2021-09-02T01:23:58.921 146.789 237.54099 58.72908
15795 2021-09-02T01:26:25.710 177.853 233.84616 60.30293
15906 2021-09-02T01:29:23.563 2051.863 228.64865 61.87680
15769 2021-09-02T02:03:35.426 173.941 153.84616 60.30293
15647 2021-09-02T02:06:29.367 100.848 149.01639 58.72908
15522 2021-09-02T02:08:10.215 166.774 147.40158 57.15523
15390 2021-09-02T02:10:56.989 258.696 143.18181 55.58138
15113 2021-09-02T02:15:15.685 96.801 138.16902 52.43367
14968 2021-09-02T02:16:52.486 248.931 137.14285 50.85982
14661 2021-09-02T02:21:01.417 129.084 132.99362 47.71211
14500 2021-09-02T02:23:10.501 220.949 130.80745 46.13826
14166 2021-09-02T02:26:51.450 125.353 128.11766 42.99055
13993 2021-09-02T02:28:56.803 199.526 126.20689 41.41670
13635 2021-09-02T02:32:16.329 122.743 124.61539 38.26900
13449 2021-09-02T02:34:19.072 106.143 122.90322 36.69514
13261 2021-09-02T02:36:05.215 331.184 121.90476 35.12129
12674 2021-09-02T02:41:36.399 104.764 118.49246 30.39973
12473 2021-09-02T02:43:21.163 104.485 117.62376 28.82588
12268 2021-09-02T02:45:05.648 104.203 116.78049 27.25203
12061 2021-09-02T02:46:49.851 103.918 115.96154 25.67818
11850 2021-09-02T02:48:33.769 90.745 115.16588 24.10432
11638 2021-09-02T02:50:04.514 221.614 114.92958 22.53047
11206 2021-09-02T02:53:46.128 2898.027 112.81107 19.38277
04925 2021-09-02T03:42:04.155 56.204 92.57143 -24.68511
16119 2021-09-02T03:43:00.359 248.149 139.89375 -26.99972
16119 2021-09-02T03:43:00.359 248.149 92.34404 -25.62639
04309 2021-09-02T03:47:08.508 116.241 90.44776 -29.40667
04110 2021-09-02T03:49:04.749 1110.098 89.09091 -30.98052
02313 2021-09-02T04:07:34.847 100.652 76.50000 -46.71905
02156 2021-09-02T04:09:15.499 481.073 75.48387 -48.29290
01576 2021-09-02T04:17:16.572 158.267 67.50000 -54.58831
01444 2021-09-02T04:19:54.839 107.116 63.69231 -56.16217
01317 2021-09-02T04:21:41.955 178.516 61.92000 -57.73602
01195 2021-09-02T04:24:40.471 110.204 57.00000 -59.30987
01078 2021-09-02T04:26:30.675 176.531 54.78261 -60.88372
00967 2021-09-02T04:29:27.206 184.086 49.54128 -62.45758
00861 2021-09-02T04:32:31.292 286.712 43.68932 -64.03143
00760 2021-09-02T04:37:18.004 897.954 33.06122 -65.60529
00848 2021-09-02T04:52:15.958 237.663 356.32651 -65.60529
00948 2021-09-02T04:56:13.621 82.671 347.76697 -64.03143
00947 2021-09-02T04:57:36.292 142.556 344.27182 -64.03143
01055 2021-09-02T04:59:58.848 351.329 340.18347 -62.45758
01286 2021-09-02T05:05:50.177 135.832 330.00000 -59.30987
01409 2021-09-02T05:08:06.009 133.456 326.88000 -57.73602
01538 2021-09-02T05:10:19.465 124.43 324.00000 -56.16217
01672 2021-09-02T05:12:23.895 128.784 321.61761 -54.58831
01812 2021-09-02T05:14:32.679 126.743 319.14893 -53.01446
01956 2021-09-02T05:16:39.422 131.902 316.84930 -51.44061
02105 2021-09-02T05:18:51.324 446.909 314.40002 -49.86675
02747 2021-09-02T05:26:18.233 118.393 308.57141 -43.57134
02918 2021-09-02T05:28:16.626 5227.62 306.93640 -41.99749
13523 2021-09-02T06:55:24.246 107.442 266.12903 36.69514
13706 2021-09-02T06:57:11.688 107.989 265.05493 38.26900
13884 2021-09-02T06:58:59.677 108.549 263.93259 39.84285
14059 2021-09-02T07:00:48.226 109.118 262.75861 41.41670
14229 2021-09-02T07:02:37.344 109.698 261.52945 42.99055
14396 2021-09-02T07:04:27.042 124.995 260.24097 44.56441
14557 2021-09-02T07:06:32.037 111.398 258.26086 46.13826
14715 2021-09-02T07:08:23.435 128.224 256.81528 47.71211
14867 2021-09-02T07:10:31.659 472.052 254.60526 49.28596
15428 2021-09-02T07:18:23.711 138.217 246.81818 55.58138
15556 2021-09-02T07:20:41.928 141.054 243.77954 57.15523
15678 2021-09-02T07:23:02.982 143.959 240.49181 58.72908
15796 2021-09-02T07:25:26.941 173.615 236.92308 60.30293
15907 2021-09-02T07:28:20.556 1992.837 231.89189 61.87680
15884 2021-09-02T08:01:33.393 136.437 157.29730 61.87680
15769 2021-09-02T08:03:49.830 173.628 153.84616 60.30293
15647 2021-09-02T08:06:43.458 267.747 149.01639 58.72908
15390 2021-09-02T08:11:11.205 258.625 143.18181 55.58138
15113 2021-09-02T08:15:29.830 250.38 138.16902 52.43367
14816 2021-09-02T08:19:40.210 95.678 133.81578 49.28596
